buffer,+coalescing,+prefetch
0,0.0,0.0
1,2.380952380952381,12.5
2,4.761904761904762,25.0
3,7.142857142857143,37.5
4,9.523809523809524,50.0
5,11.904761904761905,62.5
6,14.285714285714286,75.0
7,16.666666666666668,87.5
8,19.047619047619047,100.0
9,21.428571428571427,100.0
10,23.80952380952381,100.0
11,26.19047619047619,100.0
12,28.571428571428573,100.0
13,30.952380952380953,100.0
14,33.333333333333336,100.0
15,35.714285714285715,100.0
16,38.095238095238095,100.0
17,40.476190476190474,100.0
18,42.857142857142854,100.0
19,45.23809523809524,100.0
20,47.61904761904762,100.0
21,50.0,100.0
22,52.38095238095238,100.0
23,54.76190476190476,100.0
24,57.142857142857146,100.0
25,59.523809523809526,100.0
26,61.904761904761905,100.0
27,64.28571428571429,100.0
28,66.66666666666667,100.0
29,69.04761904761905,100.0
30,71.42857142857143,100.0
31,73.80952380952381,100.0
32,76.19047619047619,100.0
33,78.57142857142857,100.0
34,80.95238095238095,100.0
35,83.33333333333333,100.0
36,85.71428571428571,100.0
37,88.0952380952381,100.0
38,90.47619047619048,100.0
39,92.85714285714286,100.0
40,95.23809523809524,100.0
41,97.61904761904762,100.0
42,100.0,100.0
43,100.0,100.0
44,100.0,100.0
45,100.0,100.0
46,100.0,100.0
47,100.0,100.0
48,100.0,100.0
49,100.0,100.0
50,100.0,100.0
51,100.0,100.0
52,100.0,100.0
53,100.0,100.0
54,100.0,100.0
55,100.0,100.0
56,100.0,100.0
57,100.0,100.0
58,100.0,100.0
59,100.0,100.0
60,100.0,100.0
61,100.0,100.0
62,100.0,100.0
63,100.0,100.0
64,100.0,100.0
